family,family_label,task,task_label,scenario,scenario_label,model,model_label,seed,metric,value
family1_no_clr_microbiome_raw,Familia 1: microbioma sin CLR,classification,Clasificacion,A_environment,A,pysr,PySR,215,AUC,0.5125000000000001
family1_no_clr_microbiome_raw,Familia 1: microbioma sin CLR,classification,Clasificacion,A_environment,A,pysr,PySR,216,AUC,0.4021825396825397
family1_no_clr_microbiome_raw,Familia 1: microbioma sin CLR,classification,Clasificacion,A_environment,A,pysr,PySR,217,AUC,0.4355158730158729
family1_no_clr_microbiome_raw,Familia 1: microbioma sin CLR,classification,Clasificacion,A_environment,A,pysr,PySR,218,AUC,0.5013888888888889
family1_no_clr_microbiome_raw,Familia 1: microbioma sin CLR,classification,Clasificacion,A_environment,A,pysr,PySR,219,AUC,0.5692460317460317
family1_no_clr_microbiome_raw,Familia 1: microbioma sin CLR,classification,Clasificacion,A_environment,A,pysr,PySR,220,AUC,0.4827380952380952
family1_no_clr_microbiome_raw,Familia 1: microbioma sin CLR,classification,Clasificacion,A_environment,A,pysr,PySR,221,AUC,0.5180555555555555
family1_no_clr_microbiome_raw,Familia 1: microbioma sin CLR,classification,Clasificacion,A_environment,A,pysr,PySR,222,AUC,0.4543650793650793
family1_no_clr_microbiome_raw,Familia 1: microbioma sin CLR,classification,Clasificacion,A_environment,A,random_forest,Random Forest,123,AUC,0.4521825396825397
family1_no_clr_microbiome_raw,Familia 1: microbioma sin CLR,classification,Clasificacion,A_environment,A,random_forest,Random Forest,124,AUC,0.4557539682539682
family1_no_clr_microbiome_raw,Familia 1: microbioma sin CLR,classification,Clasificacion,A_environment,A,random_forest,Random Forest,125,AUC,0.4910714285714286
family1_no_clr_microbiome_raw,Familia 1: microbioma sin CLR,classification,Clasificacion,A_environment,A,random_forest,Random Forest,126,AUC,0.4793650793650794
family1_no_clr_microbiome_raw,Familia 1: microbioma sin CLR,classification,Clasificacion,A_environment,A,random_forest,Random Forest,127,AUC,0.4954365079365079
family1_no_clr_microbiome_raw,Familia 1: microbioma sin CLR,classification,Clasificacion,A_environment,A,random_forest,Random Forest,128,AUC,0.473015873015873
family1_no_clr_microbiome_raw,Familia 1: microbioma sin CLR,classification,Clasificacion,A_environment,A,random_forest,Random Forest,129,AUC,0.4138888888888889
family1_no_clr_microbiome_raw,Familia 1: microbioma sin CLR,classification,Clasificacion,A_environment,A,random_forest,Random Forest,130,AUC,0.5117063492063492
family1_no_clr_microbiome_raw,Familia 1: microbioma sin CLR,classification,Clasificacion,A_environment,A,random_forest,Random Forest,131,AUC,0.5015873015873016
family1_no_clr_microbiome_raw,Familia 1: microbioma sin CLR,classification,Clasificacion,A_environment,A,random_forest,Random Forest,132,AUC,0.557936507936508
family1_no_clr_microbiome_raw,Familia 1: microbioma sin CLR,classification,Clasificacion,A_environment,A,random_forest,Random Forest,133,AUC,0.5005952380952381
family1_no_clr_microbiome_raw,Familia 1: microbioma sin CLR,classification,Clasificacion,A_environment,A,random_forest,Random Forest,134,AUC,0.5317460317460317
family1_no_clr_microbiome_raw,Familia 1: microbioma sin CLR,classification,Clasificacion,A_environment,A,random_forest,Random Forest,135,AUC,0.4777777777777778
family1_no_clr_microbiome_raw,Familia 1: microbioma sin CLR,classification,Clasificacion,A_environment,A,random_forest,Random Forest,136,AUC,0.5375
family1_no_clr_microbiome_raw,Familia 1: microbioma sin CLR,classification,Clasificacion,A_environment,A,random_forest,Random Forest,137,AUC,0.4503968253968254
family1_no_clr_microbiome_raw,Familia 1: microbioma sin CLR,classification,Clasificacion,A_environment,A,random_forest,Random Forest,138,AUC,0.5349206349206349
family1_no_clr_microbiome_raw,Familia 1: microbioma sin CLR,classification,Clasificacion,A_environment,A,random_forest,Random Forest,139,AUC,0.4797619047619047
family1_no_clr_microbiome_raw,Familia 1: microbioma sin CLR,classification,Clasificacion,A_environment,A,random_forest,Random Forest,140,AUC,0.5212301587301587
family1_no_clr_microbiome_raw,Familia 1: microbioma sin CLR,classification,Clasificacion,A_environment,A,random_forest,Random Forest,141,AUC,0.5208333333333334
family1_no_clr_microbiome_raw,Familia 1: microbioma sin CLR,classification,Clasificacion,A_environment,A,random_forest,Random Forest,142,AUC,0.4815476190476191
family1_no_clr_microbiome_raw,Familia 1: microbioma sin CLR,classification,Clasificacion,A_environment,A,random_forest,Random Forest,143,AUC,0.4146825396825397
family1_no_clr_microbiome_raw,Familia 1: microbioma sin CLR,classification,Clasificacion,A_environment,A,random_forest,Random Forest,144,AUC,0.4918650793650794
family1_no_clr_microbiome_raw,Familia 1: microbioma sin CLR,classification,Clasificacion,A_environment,A,random_forest,Random Forest,145,AUC,0.4912698412698413
family1_no_clr_microbiome_raw,Familia 1: microbioma sin CLR,classification,Clasificacion,A_environment,A,random_forest,Random Forest,146,AUC,0.5180555555555555
family1_no_clr_microbiome_raw,Familia 1: microbioma sin CLR,classification,Clasificacion,A_environment,A,random_forest,Random Forest,147,AUC,0.5238095238095238
family1_no_clr_microbiome_raw,Familia 1: microbioma sin CLR,classification,Clasificacion,A_environment,A,random_forest,Random Forest,148,AUC,0.4734126984126984
family1_no_clr_microbiome_raw,Familia 1: microbioma sin CLR,classification,Clasificacion,A_environment,A,random_forest,Random Forest,149,AUC,0.4295634920634921
family1_no_clr_microbiome_raw,Familia 1: microbioma sin CLR,classification,Clasificacion,A_environment,A,random_forest,Random Forest,150,AUC,0.5077380952380952
family1_no_clr_microbiome_raw,Familia 1: microbioma sin CLR,classification,Clasificacion,A_environment,A,random_forest,Random Forest,151,AUC,0.4621031746031746
family1_no_clr_microbiome_raw,Familia 1: microbioma sin CLR,classification,Clasificacion,A_environment,A,random_forest,Random Forest,152,AUC,0.5031746031746032
family1_no_clr_microbiome_raw,Familia 1: microbioma sin CLR,classification,Clasificacion,A_environment,A,random_forest,Random Forest,153,AUC,0.5170634920634921
family1_no_clr_microbiome_raw,Familia 1: microbioma sin CLR,classification,Clasificacion,A_environment,A,random_forest,Random Forest,154,AUC,0.4777777777777778
family1_no_clr_microbiome_raw,Familia 1: microbioma sin CLR,classification,Clasificacion,A_environment,A,random_forest,Random Forest,155,AUC,0.4773809523809524
family1_no_clr_microbiome_raw,Familia 1: microbioma sin CLR,classification,Clasificacion,A_environment,A,random_forest,Random Forest,156,AUC,0.5563492063492064
family1_no_clr_microbiome_raw,Familia 1: microbioma sin CLR,classification,Clasificacion,A_environment,A,random_forest,Random Forest,157,AUC,0.4680555555555556
family1_no_clr_microbiome_raw,Familia 1: microbioma sin CLR,classification,Clasificacion,A_environment,A,random_forest,Random Forest,158,AUC,0.5406746031746031
family1_no_clr_microbiome_raw,Familia 1: microbioma sin CLR,classification,Clasificacion,A_environment,A,random_forest,Random Forest,159,AUC,0.4773809523809524
family1_no_clr_microbiome_raw,Familia 1: microbioma sin CLR,classification,Clasificacion,A_environment,A,random_forest,Random Forest,160,AUC,0.5236111111111111
family1_no_clr_microbiome_raw,Familia 1: microbioma sin CLR,classification,Clasificacion,A_environment,A,random_forest,Random Forest,161,AUC,0.4783730158730159
family1_no_clr_microbiome_raw,Familia 1: microbioma sin CLR,classification,Clasificacion,A_environment,A,random_forest,Random Forest,162,AUC,0.4720238095238095
family1_no_clr_microbiome_raw,Familia 1: microbioma sin CLR,classification,Clasificacion,A_environment,A,random_forest,Random Forest,163,AUC,0.4966269841269842
family1_no_clr_microbiome_raw,Familia 1: microbioma sin CLR,classification,Clasificacion,A_environment,A,random_forest,Random Forest,164,AUC,0.4648809523809524
family1_no_clr_microbiome_raw,Familia 1: microbioma sin CLR,classification,Clasificacion,A_environment,A,random_forest,Random Forest,165,AUC,0.473015873015873
family1_no_clr_microbiome_raw,Familia 1: microbioma sin CLR,classification,Clasificacion,A_environment,A,random_forest,Random Forest,166,AUC,0.514484126984127
family1_no_clr_microbiome_raw,Familia 1: microbioma sin CLR,classification,Clasificacion,A_environment,A,random_forest,Random Forest,167,AUC,0.5017857142857143
family1_no_clr_microbiome_raw,Familia 1: microbioma sin CLR,classification,Clasificacion,A_environment,A,random_forest,Random Forest,168,AUC,0.471031746031746
family1_no_clr_microbiome_raw,Familia 1: microbioma sin CLR,classification,Clasificacion,A_environment,A,random_forest,Random Forest,169,AUC,0.4748015873015873
family1_no_clr_microbiome_raw,Familia 1: microbioma sin CLR,classification,Clasificacion,A_environment,A,random_forest,Random Forest,170,AUC,0.5077380952380952
family1_no_clr_microbiome_raw,Familia 1: microbioma sin CLR,classification,Clasificacion,A_environment,A,random_forest,Random Forest,171,AUC,0.4553571428571429
family1_no_clr_microbiome_raw,Familia 1: microbioma sin CLR,classification,Clasificacion,A_environment,A,random_forest,Random Forest,172,AUC,0.5011904761904762
family1_no_clr_microbiome_raw,Familia 1: microbioma sin CLR,classification,Clasificacion,A_environment,A,random_forest,Random Forest,173,AUC,0.4906746031746032
family1_no_clr_microbiome_raw,Familia 1: microbioma sin CLR,classification,Clasificacion,A_environment,A,random_forest,Random Forest,174,AUC,0.4746031746031746
family1_no_clr_microbiome_raw,Familia 1: microbioma sin CLR,classification,Clasificacion,A_environment,A,random_forest,Random Forest,175,AUC,0.5043650793650793
family1_no_clr_microbiome_raw,Familia 1: microbioma sin CLR,classification,Clasificacion,A_environment,A,random_forest,Random Forest,176,AUC,0.4791666666666667
family1_no_clr_microbiome_raw,Familia 1: microbioma sin CLR,classification,Clasificacion,A_environment,A,random_forest,Random Forest,177,AUC,0.4146825396825397
family1_no_clr_microbiome_raw,Familia 1: microbioma sin CLR,classification,Clasificacion,A_environment,A,random_forest,Random Forest,178,AUC,0.5075396825396825
family1_no_clr_microbiome_raw,Familia 1: microbioma sin CLR,classification,Clasificacion,A_environment,A,random_forest,Random Forest,179,AUC,0.5482142857142858
family1_no_clr_microbiome_raw,Familia 1: microbioma sin CLR,classification,Clasificacion,A_environment,A,random_forest,Random Forest,180,AUC,0.5353174603174603
family1_no_clr_microbiome_raw,Familia 1: microbioma sin CLR,classification,Clasificacion,A_environment,A,random_forest,Random Forest,181,AUC,0.4448412698412698
family1_no_clr_microbiome_raw,Familia 1: microbioma sin CLR,classification,Clasificacion,A_environment,A,random_forest,Random Forest,182,AUC,0.4611111111111112
family1_no_clr_microbiome_raw,Familia 1: microbioma sin CLR,classification,Clasificacion,A_environment,A,random_forest,Random Forest,183,AUC,0.4623015873015873
family1_no_clr_microbiome_raw,Familia 1: microbioma sin CLR,classification,Clasificacion,A_environment,A,random_forest,Random Forest,184,AUC,0.4988095238095239
family1_no_clr_microbiome_raw,Familia 1: microbioma sin CLR,classification,Clasificacion,A_environment,A,random_forest,Random Forest,185,AUC,0.4442460317460318
family1_no_clr_microbiome_raw,Familia 1: microbioma sin CLR,classification,Clasificacion,A_environment,A,random_forest,Random Forest,186,AUC,0.5003968253968254
family1_no_clr_microbiome_raw,Familia 1: microbioma sin CLR,classification,Clasificacion,A_environment,A,random_forest,Random Forest,187,AUC,0.4172619047619047
family1_no_clr_microbiome_raw,Familia 1: microbioma sin CLR,classification,Clasificacion,A_environment,A,random_forest,Random Forest,188,AUC,0.4575396825396825
family1_no_clr_microbiome_raw,Familia 1: microbioma sin CLR,classification,Clasificacion,A_environment,A,random_forest,Random Forest,189,AUC,0.4771825396825397
family1_no_clr_microbiome_raw,Familia 1: microbioma sin CLR,classification,Clasificacion,A_environment,A,random_forest,Random Forest,190,AUC,0.4865079365079365
family1_no_clr_microbiome_raw,Familia 1: microbioma sin CLR,classification,Clasificacion,A_environment,A,random_forest,Random Forest,191,AUC,0.5132936507936507
family1_no_clr_microbiome_raw,Familia 1: microbioma sin CLR,classification,Clasificacion,A_environment,A,random_forest,Random Forest,192,AUC,0.5093253968253968
family1_no_clr_microbiome_raw,Familia 1: microbioma sin CLR,classification,Clasificacion,A_environment,A,random_forest,Random Forest,193,AUC,0.43333333333333335
family1_no_clr_microbiome_raw,Familia 1: microbioma sin CLR,classification,Clasificacion,A_environment,A,random_forest,Random Forest,194,AUC,0.4789682539682539
family1_no_clr_microbiome_raw,Familia 1: microbioma sin CLR,classification,Clasificacion,A_environment,A,random_forest,Random Forest,195,AUC,0.5265873015873016
family1_no_clr_microbiome_raw,Familia 1: microbioma sin CLR,classification,Clasificacion,A_environment,A,random_forest,Random Forest,196,AUC,0.5785714285714286
family1_no_clr_microbiome_raw,Familia 1: microbioma sin CLR,classification,Clasificacion,A_environment,A,random_forest,Random Forest,197,AUC,0.4595238095238096
family1_no_clr_microbiome_raw,Familia 1: microbioma sin CLR,classification,Clasificacion,A_environment,A,random_forest,Random Forest,198,AUC,0.4746031746031746
family1_no_clr_microbiome_raw,Familia 1: microbioma sin CLR,classification,Clasificacion,A_environment,A,random_forest,Random Forest,199,AUC,0.4851190476190476
family1_no_clr_microbiome_raw,Familia 1: microbioma sin CLR,classification,Clasificacion,A_environment,A,random_forest,Random Forest,200,AUC,0.4408730158730159
family1_no_clr_microbiome_raw,Familia 1: microbioma sin CLR,classification,Clasificacion,A_environment,A,random_forest,Random Forest,201,AUC,0.5287698412698413
family1_no_clr_microbiome_raw,Familia 1: microbioma sin CLR,classification,Clasificacion,A_environment,A,random_forest,Random Forest,202,AUC,0.523611111111111
family1_no_clr_microbiome_raw,Familia 1: microbioma sin CLR,classification,Clasificacion,A_environment,A,random_forest,Random Forest,203,AUC,0.4958333333333334
family1_no_clr_microbiome_raw,Familia 1: microbioma sin CLR,classification,Clasificacion,A_environment,A,random_forest,Random Forest,204,AUC,0.5021825396825397
family1_no_clr_microbiome_raw,Familia 1: microbioma sin CLR,classification,Clasificacion,A_environment,A,random_forest,Random Forest,205,AUC,0.4579365079365079
family1_no_clr_microbiome_raw,Familia 1: microbioma sin CLR,classification,Clasificacion,A_environment,A,random_forest,Random Forest,206,AUC,0.4773809523809524
family1_no_clr_microbiome_raw,Familia 1: microbioma sin CLR,classification,Clasificacion,A_environment,A,random_forest,Random Forest,207,AUC,0.4599206349206349
family1_no_clr_microbiome_raw,Familia 1: microbioma sin CLR,classification,Clasificacion,A_environment,A,random_forest,Random Forest,208,AUC,0.5555555555555556
family1_no_clr_microbiome_raw,Familia 1: microbioma sin CLR,classification,Clasificacion,A_environment,A,random_forest,Random Forest,209,AUC,0.5103174603174604
family1_no_clr_microbiome_raw,Familia 1: microbioma sin CLR,classification,Clasificacion,A_environment,A,random_forest,Random Forest,210,AUC,0.5271825396825397
